6903|CHEESEBURGER             |1|3|CHEESEBURGER             |1|5050510|TND_MIM
6922|CHEESEBURGER             |1|3|CHEESEBURGER             |2|5050510|TND_MIM
6779|CHEESEBURGER             |1|3|CHEESEBURGER             |4|5050510|TND_MIM
6780|CHEESEBURGER             |1|3|CHEESEBURGER             |4|5050510|TND_MIM
7376|CHEESEBURGER             |1|3|CHEESEBURGER             |2|5050510|TND_MIM
7377|CHEESEBURGER             |1|3|CHEESEBURGER             |2|5050510|TND_MIM
7236|CHEESEBURGER             |1|3|CHEESEBURGER             |2|5050510|TND_MIM
2058|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
6299|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
6244|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
6243|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
6195|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |2|5050565|TND_MIM
6119|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
6079|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |2|5050565|TND_MIM
4678|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |2|5050565|TND_MIM
0352|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
1234|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |2|5050565|TND_MIM
1217|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |2|5050565|TND_MIM
9913|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
9912|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
3398|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |2|5050565|TND_MIM
0084|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
0044|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
