0368|HAMBGR/POTATO CHIP|3039|POTATO CHIPS|1
0371|DOUBLE MCRIB ML-LRG|125|30 OZ GENERIC DRK|1
0371|DOUBLE MCRIB ML-LRG|6053|L FRENCH FRIES|1
0371|DOUBLE MCRIB ML-LRG|7451|DOUBLE MCRIB|1
0372|DOUBLE MCRIB MEAL|21|21 OZ GENERIC DRK|1
0372|DOUBLE MCRIB MEAL|7451|DOUBLE MCRIB|1
0372|DOUBLE MCRIB MEAL|8932|M FRENCH FRIES|1
0374|BCN CLBHS SSM-GRL ML|21|21 OZ GENERIC DRK|1
0374|BCN CLBHS SSM-GRL ML|373|BCN CLBHS SSM-GRL|1
0374|BCN CLBHS SSM-GRL ML|8932|M FRENCH FRIES|1
0376|BNCLBHS SSM-GR ML-LG|125|30 OZ GENERIC DRK|1
0376|BNCLBHS SSM-GR ML-LG|373|BCN CLBHS SSM-GRL|1
0376|BNCLBHS SSM-GR ML-LG|6053|L FRENCH FRIES|1
0380|SNACK MCBITES ML-LRG|125|30 OZ GENERIC DRK|1
0380|SNACK MCBITES ML-LRG|3199|SNACK MCBITES|1
0380|SNACK MCBITES ML-LRG|6053|L FRENCH FRIES|1
0402|DBL QTR CH ML-AP|21|21 OZ GENERIC DRK|1
0402|DBL QTR CH ML-AP|2794|APPLE SLICES|2
0402|DBL QTR CH ML-AP|3426|DBL QTR CHEESE|1
0404|BCN CLBHS ART-GRL ML|21|21 OZ GENERIC DRK|1
0404|BCN CLBHS ART-GRL ML|377|BCN CLBHS ART-GRL|1
0404|BCN CLBHS ART-GRL ML|8932|M FRENCH FRIES|1
0407|HAMBGR(6)|1|HAMBURGER|6
0408|6 CHEESEBURGERS|3|CHEESEBURGER|6
0438|FILET-O-FISH ML-AP|21|21 OZ GENERIC DRK|1
0438|FILET-O-FISH ML-AP|2794|APPLE SLICES|2
0438|FILET-O-FISH ML-AP|5926|FILET-O-FISH|1
0456|CONTINENTAL BRKFST|24|S COFFEE|1
0456|CONTINENTAL BRKFST|38|APL DANISH|1
0456|CONTINENTAL BRKFST|94|10 OZ OJ|1
0461|HOT&SPCY CKN ML-AP|21|21 OZ GENERIC DRK|1
0461|HOT&SPCY CKN ML-AP|2794|APPLE SLICES|2
0461|HOT&SPCY CKN ML-AP|4834|HOT&SPICY MCCHICKEN|1
0472|MCFLOAT|820|GLASS W/MED MEAL|1
0497|BNCLBHS ART-GR ML-LG|125|30 OZ GENERIC DRK|1
0497|BNCLBHS ART-GR ML-LG|377|BCN CLBHS ART-GRL|1
0497|BNCLBHS ART-GR ML-LG|6053|L FRENCH FRIES|1
0500|CHEF SALAD/LF/21 DRK|21|21 OZ GENERIC DRK|1
0500|CHEF SALAD/LF/21 DRK|118|CHEF SAL|1
0500|CHEF SALAD/LF/21 DRK|8932|M FRENCH FRIES|1
0518|MCCHICKEN ML-AP|21|21 OZ GENERIC DRK|1
0518|MCCHICKEN ML-AP|2794|APPLE SLICES|2
0518|MCCHICKEN ML-AP|4314|MCCHICKEN|1
0525|SAUS BISC(6)|62|SAUSAGE BISCUIT|6
0526|BEC BISC(6)|85|BAC EGG CH BISCUIT|6
0527|STK BISC(6)|157|STEAK BISCUIT|6
0528|BEC(2)/STK(2)/SAUS BISC(2|62|SAUSAGE BISCUIT|2
0528|BEC(2)/STK(2)/SAUS BISC(2|85|BAC EGG CH BISCUIT|2
0528|BEC(2)/STK(2)/SAUS BISC(2|157|STEAK BISCUIT|2
0539|MCDOUBLE ML-AP|21|21 OZ GENERIC DRK|1
0539|MCDOUBLE ML-AP|592|MCDOUBLE|1
0539|MCDOUBLE ML-AP|2794|APPLE SLICES|2
0543|BURR(2)/12 OZ COFF|24|S COFFEE|1
0543|BURR(2)/12 OZ COFF|334|SAUSAGE BURRITO|2
0547|BCN CLBHS BKR-GRL ML|21|21 OZ GENERIC DRK|1
0547|BCN CLBHS BKR-GRL ML|501|BCN CLBHS BKR-GRL|1
0547|BCN CLBHS BKR-GRL ML|8932|M FRENCH FRIES|1
0550|SAUSAGE MCMUFFIN ML|24|S COFFEE|1
0550|SAUSAGE MCMUFFIN ML|35|HASH BROWN|1
0550|SAUSAGE MCMUFFIN ML|78|SAUSAGE MCMUFFIN|1
0551|MCRIB ML-AP|10|MCRIB|1
0551|MCRIB ML-AP|21|21 OZ GENERIC DRK|1
0551|MCRIB ML-AP|2794|APPLE SLICES|2
0552|BNCLBHS BKR-GR ML-LG|125|30 OZ GENERIC DRK|1
0552|BNCLBHS BKR-GR ML-LG|501|BCN CLBHS BKR-GRL|1
0552|BNCLBHS BKR-GR ML-LG|6053|L FRENCH FRIES|1
0576|2 STHRN CHKN BISC ML|24|S COFFEE|1
0576|2 STHRN CHKN BISC ML|35|HASH BROWN|1
0576|2 STHRN CHKN BISC ML|2347|SOUTHERN CKN BISCUIT|2
0578|SPCY CHKN-JALPN MEAL|21|21 OZ GENERIC DRK|1
0578|SPCY CHKN-JALPN MEAL|577|SPCY CHKN-JALAPENO|1
0578|SPCY CHKN-JALPN MEAL|8932|M FRENCH FRIES|1
0579|SPCY CKN-JLPN ML-LRG|125|30 OZ GENERIC DRK|1
0579|SPCY CKN-JLPN ML-LRG|577|SPCY CHKN-JALAPENO|1
0579|SPCY CKN-JLPN ML-LRG|6053|L FRENCH FRIES|1
