PRI_MENU_ITM_NU|PRI_MENU_ITM_NA|MENU_ITM_POS_NA|SEC_MENU_ITM_NU|SEC_MENU_ITM_NA|MENU_ITM_POS_NA
3483|MIGHTY MEAL 6 PIECE|6NG Fy|3505|Mighty Meal 6 Piece|6NG Fy
3484|MIGHTY MEAL MCDOUBLE|MCD Fy|3506|Mighty Meal McDouble|MCD Fy
3491|M MOCHA FRAPPE|M Mfrp|4300|M Mocha Frappe|M Mfrp
3494|L MOCHA FRAPPE|L Mfrp|4302|L Mocha Frappe|L Mfrp
3498|S MOCHA FRAPPE|S Mfrp|3500|S Mocha Frappe|S Mfrp
3499|S CARAMEL FRAPPE|S Cfrp|3502|S Caramel Frappe|S Cfrp
3507|M CHOC CHIP FRAPPE|M Chpf|3946|M Choc Chip Frappe|M Chpf
3508|L CHOC CHIP FRAPPE|L Chpf|3948|L Choc Chip Frappe|L Chpf
3548|SML COFFEE BOLD|S BLD|5461|S Coffee Bold|S Bld
3555|MED COFFEE BOLD|M BLD|5467|M Coffee Bold|M Bld
3556|LRG COFFEE BOLD|L BLD|5560|L Coffee Bold|L Bld
3572|2 QTR POUNDER CHEESE|2 Qpc|7638|2 Qtr Pounder Cheese|2 Qpc
3581|S ORANGE JUICE CC|S Oj|3086|Value Ornge Juice Cc|S Oj
3581|S ORANGE JUICE CC|S Oj|4680|S Orange Juice Cc|S OJ
3582|M ORANGE JUICE CC|M Oj|4582|M Orange Juice Cc|M OJ
3590|BIG BREAKFAST W/HTCK|Bbhtck|1102|Big Breakfast w/Htck|Bbhtck
3590|BIG BREAKFAST W/HTCK|Bbhtck|4590|Big Breakfast w/HtCk|Bbhtck
3642|GRL CKN S WEST SALAD|Sw Grl|6201|Grl Ckn S West Salad|Sw Grl
3644|SOUTHWEST SALAD|Sw Sld|6209|Southwest Salad|Sw Sld
3655|SAU EGG MCMUFFIN ML|Secmf+|4655|Sau Egg McMuffin Ml|Secmf+
3690|FUDGE BROWNIE SUNDAE|Fg Brn|8674|Fudge Brownie Sundae|Fg Brn
3729|C MELLO YELLO|C Melo|7870|C Mello Yello|C Melo
3730|S MELLO YELLO|S Melo|4730|S Mello Yello|S Melo
3731|M MELLO YELLO|M Melo|7871|M Mello Yello|M Melo
3732|L MELLO YELLO|L Melo|6871|L Mello Yello|L Melo
3749|CHED BCN ONION ANGUS|CBOa|4364|Ched Bcn Onion Angus|CBOa
3750|CBO ANGUS MEAL|M Cboa|4365|CBO Angus Meal|M Cboa
3752|CBO ANGUS ML-LRG|L Cboa|4367|CBO Angus Ml-Lrg|L Cboa
3754|CHED BCN ONION-GRL|CBOg|4368|Ched Bcn Onion-Grl|CBOg
3764|CBO-GRL MEAL|M Cbog|4369|CBO-Grl Meal|M Cbog
3765|CBO-GRL ML-LRG|L Cbog|4370|CBO-Grl Ml-Lrg|L Cbog
3766|CHED BCN ONION-CPY|CBOc|4371|Ched Bcn Onion-Cpy|CBOc
3768|CBO-CPY MEAL|M Cboc|4372|CBO-Cpy Meal|M Cboc
3769|CBO-CPY ML-LRG|L Cboc|4373|CBO-Cpy Ml-Lrg|L Cboc
3772|SNACK P&C MCFLURRY|Sn Prl|5522|Snack P&C McFlurry|Sn Prl
3773|PRLN&CREAM MCFLURRY|Prline|5523|Prln&Cream McFlurry|Prline
3779|S SHAMROCK SHAKE|S Srck|4479|S Shamrock Shake|S Srck
3780|M SHAMROCK SHAKE|M Srck|4490|M Shamrock Shake|M Srck
3783|L SHAMROCK SHAKE|L Srck|4502|L Shamrock Shake|L Srck
3784|SML CHO BANANA SHAKE|S CHBN|3970|S Choc Banana Shake|S Chbn
3786|MED CHO BANANA SHAKE|M CHBN|3971|M Choc Banana Shake|M Chbn
3789|LRG CHO BANANA SHAKE|L CHBN|3972|L Choc Banana Shake|L Chbn
3790|S PUMPKIN SHAKE|S Pkn|4073|S Pumpkin Shake|S Pkn
3793|M PUMPKIN SHAKE|M Pkn|4074|M Pumpkin Shake|M Pkn
3794|L PUMPKIN SHAKE|L Pkn|4112|L Pumpkin Shake|L Pkn
3795|SWEET POTATO PIE|Sw Pie|4072|Sweet Potato Pie|Sw Pie
3795|SWEET POTATO PIE|Sw Pie|7020|Sweet Potato Pie|Sw Pie
3809|2 HASHBROWN|2 Hbrn|4791|2 Hashbrown|2 Hbrn
3810|S BLUE POM SMOOTHIE|S Bpom|4219|S Blue Pom Smoothie|S Bpom
3811|M BLUE POM SMOOTHIE|M Bpom|4220|M Blue Pom Smoothie|M Bpom
3815|L BLUE POM SMOOTHIE|L Bpom|5026|L Blue Pom Smoothie|L Bpom
3816|GRILLED ONION CHEDDR|Gco|4478|Grilled Onion Cheddr|GOC
3818|S COKE ICEE|S I Ck|8974|S Coke Icee|S I Ck
3820|S CHERRY ICEE|S I Ch|8975|S Cherry Icee|S I Ch
3822|S EGG NOG SHAKE|S Enog|4122|S Egg Nog Shake|S Enog
3827|M EGG NOG SHAKE|M Enog|4133|M Egg Nog Shake|M Enog
3828|L EGG NOG SHAKE|L Enog|4136|L Egg Nog Shake|L Enog
3830|M&M MCFLURRY|M&M|4830|M&M McFlurry|M&M
3830|M&M MCFLURRY|M&M|5512|M&M McFlurry|M&M
3832|OREO MCFLURRY|Oreo|4832|Oreo McFlurry|Oreo
3832|OREO MCFLURRY|Oreo|5517|Oreo McFlurry|Oreo
3833|BUTTERFINGR MCFLURRY|Btrfng|4833|Butterfingr McFlurry|Btrfng
3836|LRG M&M MCFLURRY|L M&M|4213|LRG M&M MCFLURRY|L M&M
3838|LRG OREO MCFLURRY|L OREO|4212|LRG OREO MCFLURRY|L OREO
3839|LRG BTRFNGR MCFLURRY|L BTRF|4216|LRG BTRFNGR MCFLURRY|L BTRF
3841|PRM CKN RANCH WP-CPY|Wpc/Cr|4679|Prm Ckn Ranch Wp-Cpy|Wpc/Cr
3842|CKN RCH WP CP MEAL|M Wccr|4687|Prm Rch Wp Cp Meal|M Wccr
3854|CKN RCH WP CP ML-LRG|L Wccr|4701|Prm Rch Wp Cp Ml-Lrg|L Wccr
3857|BTL MTN BLAST|B Mtbl|3878|Btl Mtn Blast|B Mtbl
3862|M COKE FLOAT|M Ckfl|6847|M Coke Float|M Ckfl
3875|CHERRY PIE|Ch Pie|4875|Cherry Pie|Ch Pie
3875|CHERRY PIE|Ch Pie|7021|Cherry Pie|Ch Pie
3876|PRM CKN RANCH WP-GRL|Wp/Crg|4703|Prm Ckn Ranch Wp-Grl|Wp/Crg
3884|MUSHROOMS|Mushrm|7344|Mushrooms|Mushrm
3891|CKN RCH WP GR MEAL|M Wcrg|4704|Prm Rch Wp Gr Meal|M Wcrg
3892|CKN RCH WP GR ML-LRG|L Wcrg|4705|Prm Rch Wp Gr Ml-Lrg|L Wcrg
3893|PRM SCHILI WRAP-CPY|Wpc/Sc|4706|Prm SChili Wrap-Cpy|Wpc/Sc
3894|PRM SCHIL WP CP MEAL|M Wcsc|4711|Prm SChil Wp Cp Meal|M Wcsc
3895|PRM SCH WP CP ML-LRG|L Wcsc|4712|Prm SCh Wp Cp Ml-Lrg|L Wcsc
3896|PRM SCHILI WRAP-GRL|Wp/Scg|4713|Prm SChili Wrap-Grl|Wp/Scg
3897|PRM SCHIL WP GR MEAL|M Wscg|4714|Prm SChil Wp Gr Meal|M Wscg
3899|PRM SCH WP GR ML-LRG|L Wscg|4716|Prm SCh Wp Gr Ml-Lrg|L Wscg
3900|PRM CKN BCN WRAP-CPY|Wpc/Cb|4717|Prm Ckn Bcn Wrap-Cpy|Wpc/Cb
3901|CKN & BCN WP CP MEAL|M Wccb|4718|Prm CkBcn Wp Cp Meal|M Wccb
3902|CKN&BCN WP CP ML-LRG|L Wccb|4719|Prm CkB Wp Cp Ml-Lrg|L Wccb
3903|PRM CKN BCN WRAP-GRL|Wp/Cbg|4720|Prm Ckn Bcn Wrap-Grl|Wp/Cbg
3904|CKN & BCN WP GR MEAL|M Wcbg|4729|Prm CkBcn Wp Gr Meal|M Wcbg
3905|CKN&BCN WP GR ML-LRG|L Wcbg|4745|Prm CkB Wp Gr Ml-Lrg|L Wcbg
3908|TOMATO|Tomato|9773|Tomato|Tomato
3912|C LEMONADE|C Lemn|4912|C Lemonade|C Lemn
3913|S LEMONADE|S Lemn|4913|S Lemonade|S Lemn
3914|M LEMONADE|M Lemn|4914|M Lemonade|M Lemn
3915|L LEMONADE|L Lemn|4915|L Lemonade|L Lemn
3930|3 MIGHTY WINGS|3mw|5536|3 Mighty Wings|3mw
3931|3 MTY WINGS MEAL|M 3mw|5537|3 Mty Wings Meal|M 3mw
3932|3 MTY WINGS ML-LRG|L 3mw|5538|3 Mty Wings Ml-Lrg|L 3mw
3933|DBL FILET-O-FISH|Dfof|5105|Dbl Filet-O-Fish|Dfof
3935|TRUCK TOY|Truck|7081|TMNT|TMNT
3935|TRUCK TOY|Truck|7083|Hot Wheels|HotWhl
3935|TRUCK TOY|Truck|7085|Transformers|Transf
3935|TRUCK TOY|Truck|7087|Skylanders Trap Tm|SkyTrT
3935|TRUCK TOY|Truck|7089|Rebelle|Rebell
3935|TRUCK TOY|Truck|7091|Happy Meal Books|HMBook
3935|TRUCK TOY|Truck|7093|Generic Toy|Genric
3936|DOLL TOY|Doll|7082|Sweetheart Plush|SwtPls
3936|DOLL TOY|Doll|7084|Barbie|Barbie
3936|DOLL TOY|Doll|7086|My little Pony|MyLpon
3936|DOLL TOY|Doll|7088|Little Pet Shop|LtPtSh
3936|DOLL TOY|Doll|7090|Nerf|Nerf
3936|DOLL TOY|Doll|7092|Generic Toy|Genric
3958|EGG WHITE DELIGHT|Ewd|4568|Egg White Delight|Ewd
3966|EGG WHITE DELIGHT ML|Ewd+|4579|Egg White Delight Ml|Ewd+
3994|S BLACKBRY RSPBRRY|S BRsp|5043|S Blackbry Rspbrry|S BRsp
3995|M BLACKBRY RSPBRRY|M BRsp|5044|M Blackbry Rspbrry|M BRsp
3996|PEACH BERRY SYRUP|PchBry|5045|Peach Berry Syrup|PchBry
3997|BLKBRY RSPBRRY SYRUP|BbyRsp|5047|Blkbry Rspbrry Syrup|BbyRsp
3998|MCCHICKEN DELUXE|Mcc Dx|4008|McChicken Deluxe|Mcc Dx
3999|MCCHICKEN DLX MEAL|M Mcdx|4020|McChicken Dlx Meal|M Mcdx
4000|MCCHICKEN DLX ML-LRG|L Mcdx|4021|McChicken Dlx Ml-Lrg|L Mcdx
4001|MCCHICKEN DLX ML-SML|S Mcdx|4009|McChicken Dlx Ml-Sml|S Mcdx
4007|XLG ORANGE JUICE 42|X OJ|8756|XLG ORANGE JUICE 42|X OJ
4024|MCGRIDDLE|Gridle|6618|McGriddle|Gridle
4033|MCCHICKEN DLX ML-SLD|Sd Mcd|4034|McChicken Dlx Ml-Sld|Sd Mcd
4049|BIG BREAKFAST/STEAK|Big St|8715|Big Breakfast/Steak|Big St
4049|BIG BREAKFAST/STEAK|Big St|8716|Big Breakfast/Steak|Big St
4055|S PUMPKIN LATTE|S Plat|5447|S Pumpkin Latte|S Plat
4062|S DULC LECHE SHAKE|S Ddl|4958|S Dulc Leche Shake|S Ddl
4070|M DULC LECHE SHAKE|M Ddl|4959|M Dulc Leche Shake|M Ddl
4071|L DULC LECHE SHAKE|L Ddl|4966|L Dulc Leche Shake|L Ddl
4076|QUARTER MEAT|Qtr Mt|7328|Quarter Meat|Qtr Mt
4082|L PRM HOT CHOCOLATE|L Prhc|4096|L Prm Hot Chocolate|L Prhc
4084|L N-FAT PRM HTCHOC|L Nphc|4111|L N-Fat Prm HtChoc|L Nphc
4145|CHOC BIRTHDAY CAKE|C Cake|6970|Choc Birthday Cake|C Cake
4148|FRUIT N YGRT PARFAIT|Prfait|4894|Fruit N Ygrt Parfait|Prfait
4148|FRUIT N YGRT PARFAIT|Prfait|6985|Fruit N Ygrt Parfait|Prfait
4191|13 COOKIE TOTE|13-Ck|8615|13 Cookie Tote|13-Ck
4192|3 PACK OF COOKIES|3-Ck|8852|3 Pack of Cookies|3-Ck
4193|1 COOKIE|1-Ck|6810|1 Cookie|1-Ck
4225|BIG N TASTY ML-LRG|L BNT|6785|BIG N TASTY ML-LRG|L BNT
4229|BIGNTASTY CH ML-LRG|L BNTC|6385|BIGNTASTY CH ML-LRG|L BNTC
4237|BROWNIE|Brwnie|8680|Brownie|Brwnie
4247|BACON DBL CHEESE|B Dbl|4792|Bacon Dbl Cheese|B Dbl
4248|SUGAR COOKIE|Sgr Ck|6245|Sugar Cookie|Sgr Ck
4257|MCRIB ML-LRG|L Rib|2366|McRib Ml-Lrg|L Rib
4275|EW BIG BREAKFAST|Big Bf|4411|EW Big Breakfast|Big Bf
4276|EW BIG BRKFST W/HTCK|Bbhtck|4413|EW Big Brkfst w/Htck|Bbhtck
4282|QUARTER CHEESE DLX|Qpcdx|4396|Quarter Cheese Dlx|Qpcdx
4283|QTR CHS DLX MEAL|M Qpdx|5172|Qtr Chs Dlx Meal|M Qpdx
4288|QTR CHS DLX ML-LRG|L Qpdx|5173|Qtr Chs Dlx Ml-Lrg|L Qpdx
4295|QUARTER BACON & CHS|Qpcbc|4397|Quarter Bacon & Chs|Qpcbc
4296|QUARTER BCN&CH MEAL|M Qpbc|5174|Quarter Bcn&Ch Meal|M Qpbc
4297|QTR BCN&CHS ML-LRG|L Qpbc|5175|Qtr Bcn&Chs Ml-Lrg|L Qpbc
4298|QTR BACON HABNRO RAN|Qpchr|4405|Qtr Bacon Habnro Ran|Qpchr
4299|QUARTER HBNRCH MEAL|M Qphr|5176|Quarter HbnRch Meal|M Qphr
4304|HOLIDAY PIE|Hd Pie|4306|Holiday Pie|Hd Pie
4304|HOLIDAY PIE|Hd Pie|7022|Holiday Pie|Hd Pie
4307|QTR HBN RCH ML-LRG|L Qphr|5177|Qtr Hbn Rch Ml-Lrg|L Qphr
4312|2 SPECIAL PIES|2-SPIE|8508|2 SPECIAL PIES|2-SPIE
4313|SPECIAL PIE|SP PIE|5997|SPECIAL PIE|SP PIE
4314|MCCHICKEN|Mcc|6448|McChicken|Mcc
4317|MCK BIG MAC|Mmac|4326|McK Big Mac|Mmac
4322|MCK BIG MAC MEAL|M Mmac|4327|McK Big Mac Meal|M Mmac
4323|MCK BIG MAC ML-LRG|L Mmac|4328|McK Big Mac Ml-Lrg|L Mmac
4344|CPY CKN S WEST SALAD|Sw Cpy|4358|Cpy Ckn S West Salad|Sw Cpy
4345|CKN RANCH BLT-CPY|Bltc|1821|Ckn Ranch Blt-Cpy|Bltc
4346|CKN RNBLT-CPY MEAL|M Bltc|1822|Ckn RnBlt-Cpy Meal|M Bltc
4377|C CAF-FREE ROOT BEER|C RtBr|5506|C Caf-Free Root Beer|C RtBr
4379|S CAF-FREE ROOT BEER|S RtBr|5507|S Caf-Free Root Beer|S RtBr
4383|M CAF-FREE ROOT BEER|M RtBr|5508|M Caf-Free Root Beer|M RtBr
4388|CKN RNBLT-CPY ML-LG|L Bltc|1823|Ckn RnBlt-Cpy Ml-Lg|L Bltc
4389|CHICKEN CLUB-CPY|Clbc|1824|Chicken Club-Cpy|Clbc
4390|CKN CLUB-CPY MEAL|M Clbc|1826|Ckn Club-Cpy Meal|M Clbc
4391|CKN CLUB-CPY ML-LRG|L Clbc|1827|Ckn Club-Cpy Ml-Lrg|L Clbc
4392|CRISPY CHICKEN DLX|Clsc|1829|Crispy Chicken Dlx|Clsc
4393|CRISPY CKN DLX MEAL|M Clsc|1833|Crispy Ckn Dlx Meal|M Clsc
4394|L CAF-FREE ROOT BEER|L RtBr|6808|L Caf-Free Root Beer|L RtBr
4431|CPY CKN BCNRAN SLD|Rancpy|1832|Cpy Ckn BcnRan Sld|Rancpy
4436|DBL GR ONION CHEDDAR|Dblgoc|4441|Dbl Gr Onion Cheddar|Dblgoc
4444|CPY CKN DLX ML-LRG|L Clsc|1834|Cpy Ckn Dlx Ml-Lrg|L Clsc
4445|DBL GRL ON CHED MEAL|M Dgoc|4451|Dbl Grl On Ched Meal|M Dgoc
4448|DBL GR ON CHD ML-LRG|L Dgoc|4455|Dbl Gr On Chd Ml-Lrg|L Dgoc
4459|C POWERADE|C Pwra|6875|C Powerade|C Pwra
4460|S POWERADE|S Pwra|9894|S Powerade|S Pwra
4461|M POWERADE|M Pwra|6876|M Powerade|M Pwra
4462|L POWERADE|L Pwra|6877|L Powerade|L Pwra
4463|XLG POWERADE|X PWRA|8737|XLG POWERADE|X PWRA
4464|CPY CKN CAESAR SLD|Caecpy|1836|Cpy Ckn Caesar Sld|Caecpy
4500|STEAK EGG CHEESE BIS|Sce Bi|4922|Steak Egg Cheese Bis|Sce Bi
4508|BREAKFAST CKN PATTY|Bf Ckn|1845|Breakfast Ckn Patty|Bf Ckn
4509|CPY CHICKEN PATTY|Cpypty|1846|Cpy Chicken Patty|Cpypty
4530|CKN DLX-CPY ML-SD|Sdclsc|4532|Ckn Dlx-Cpy Ml-Sd|Sdclsc
4531|BIG BREAKFAST/STK HC|Bbhcst|8725|Big Breakfast/Stk HC|Bbhcst
4531|BIG BREAKFAST/STK HC|Bbhcst|8727|Big Breakfast/Stk Hc|Bbhcst
4575|STEAK BAGEL|Stk Bg|5877|Steak Bagel|Stk Bg
4576|STEAK BAGEL ML|Stkbg+|5878|Steak Bagel Ml|Stkbg+
4586|ROUND EGG|Round|2146|Round Egg|Round
4634|HOT&SP MCC DELUXE|Hns Dx|4638|Hot&Sp McC Deluxe|Hns Dx
4637|HOT&SPMCC DLX ML-SML|S Hsdx|4641|Hot&SpMcC Dlx Ml-Sml|S Hsdx
4639|HOT&SP MCC DLX MEAL|M Hsdx|4642|Hot&Sp McC Dlx Meal|M Hsdx
4640|HOT&SPMCC DLX ML-LRG|L Hsdx|4647|Hot&SpMcC Dlx Ml-Lrg|L Hsdx
4644|HOT&SPMCC DLX ML-SLD|Sd Mcd|4648|Hot&SpMcC Dlx Ml-Sld|Sd Mcd
4702|XLG SWEET ICED TEA|X STEA|7848|XLG SWEET ICED TEA|X STEA
4834|HOT&SPICY MCCHICKEN|Hsmc|6365|Hot&Spicy McChicken|Hsmc
4968|4 MCNUGGETS ML-SML|S 4ng|4990|4 McNuggets Ml-Sml|S 4ng
4970|CHILI|Chili|6751|Chili|Chili
4971|DBL GR ON CHD ML-SML|S Dgoc|4976|Dbl Gr On Chd Ml-Sml|S Dgoc
4987|BBQ RANCH BURGER|BBQ Rn|5261|BBQ Ranch Burger|BBQ Rn
4988|SOUTHWEST MCDOUBLE|Swmcd|5271|BBQ Ranch McDouble|Bqmcd
4992|BUFFALO RANCH MCCHKN|Bufmcc|5861|Buffalo Ranch McChkn|Bufmcc
4993|BCN BUF RCH MCCHKN|Bbmcc|5864|Bcn Buf Rch McChkn|Bbmcc
4993|BCN BUF RCH MCCHKN|Bbmcc|6931|Bcn Buf Rch McChkn|Bbmcc
4994|BACON CHEDDAR MCCHKN|Bcnmcc|5867|Bacon Cheddar McChkn|Bcnmcc
4994|BACON CHEDDAR MCCHKN|Bcnmcc|6935|Bacon Cheddar McChkn|Bcnmcc
4995|BACON CHD H&S MCCKN|Bcnhns|5870|Bacon Chd H&S McCkn|Bcnhns
5008|SAU EGG CH BISC ML|Secbi+|8746|Sau Egg Ch Bisc Ml|Secbi+
5027|PRM CKN SWEST WP-CPY|Wpc/Sw|5448|Prm Ckn Swest Wp-Cpy|Wpc/Sw
5028|CKN SW WP CP MEAL|M Wcsw|5453|Ckn Sw Wp Cp Meal|M Wcsw
5029|CKN SW WP CP ML-LRG|L Wcsw|5454|Ckn Sw Wp Cp Ml-Lrg|L Wcsw
5039|PRM CKN SWEST WP-GRL|Wp/Swg|5452|Prm Ckn Swest Wp-Grl|Wp/Swg
5040|CKN SW WP GR MEAL|M Wswg|5456|Ckn Sw Wp Gr Meal|M Wswg
5042|CKN SW WP GR ML-LRG|L Wswg|5457|Ckn Sw Wp Gr Ml-Lrg|L Wswg
5056|2 BBQRCH BURGER MEAL|M 2 Bq|5262|2 BBQRch Burger Meal|M 2 Bq
5057|2 BBQ RCH BGR ML-LRG|L 2 Bq|5270|2 BBQ Rch Bgr Ml-Lrg|L 2 Bq
5058|SOUTHWEST MCDBL MEAL|M SwDb|5275|BBQ Ranch McDbl Meal|M BqDb
5061|DBL BIG MAC|Dmac|4079|Dbl Big Mac|Dmac
5062|STHWEST MCDBL ML-LRG|L SwDb|5282|BBQ Rch McDbl Ml-Lrg|L BqDb
5068|BUFFLO RCH MCCK MEAL|M BMcC|5862|Bufflo Rch McCk Meal|M BMcC
5075|BUF RCH MCCK ML-LRG|L BMcC|5863|Buf Rch McCk Ml-Lrg|L BMcC
5077|HOMESTYLE BURGER|Home|9854|Homestyle Burger|Home
5083|BCN BUF RCH MCC MEAL|M BBM|5865|Bcn Buf Rch McC Meal|M BBM
5084|BCNBUFRCH MCC ML-LRG|L BBM|5866|BcnBufRch McC Ml-Lrg|L BBM
5085|BACON CHED MCCH MEAL|M BMcC|5868|Bacon Ched McCh Meal|M BMcC
5091|BCN CHD MCCKN ML-LRG|L BMcC|5869|Bcn Chd McCkn Ml-Lrg|L BMcC
5092|BCN CHD H&S MCC MEAL|M BHnS|5871|Bcn Chd H&S McC Meal|M BHnS
5093|2 BURRITO ML|2-Bur+|6093|2 Burrito Ml|2-Bur+
5095|BCNCH H&S MCC ML-LRG|L BHnS|5872|BcnCh H&S McC Ml-Lrg|L BHnS
5098|50 MCNUGGETS|50NG|7985|50 McNuggets|50NG
5101|DAILY DOUBLE|Dlyd|6101|Daily Double|Dlyd
5104|L ORANGE JUICE CC|L OJ|6103|L Orange Juice Cc|L OJ
5118|MIX BRY&LMN CRM PIE|Mxbry|7028|Mix Bry&Lmn Crm Pie|Mxbry
5120|CHERRY & CREME PIE|ChyCrm|7029|Cherry & Creme Pie|ChyCrm
5122|PEACHES & CREME PIE|PchCrm|7030|Peaches & Creme Pie|PchCrm
5122|PEACHES & CREME PIE|PchCrm|7106|Peaches & Creme Pie|PchCrm
5131|VEGGIE MCWRAP|WpVeg|5338|Veggie McWrap|WpVeg
5142|GRITS|Grits|6404|Grits|Grits
5147|PRM SCHILI WP VEGGIE|WpV/Sc|5339|Prm SChili Wp Veggie|WpV/Sc
5152|PRM GARLIC WP VEGGIE|WpV/Gr|5340|Prm Garlic Wp Veggie|WpV/Gr
5156|2 CHORIZO BURRITO ML|2CBur+|5163|2 Chorizo Burrito Ml|2CBur+
5159|BACON CLUBHOUSE QTR|Clbhse|6373|Bacon Clubhouse Qtr|Clbhse
5161|BACON CLBHS QTR MEAL|M Clbh|6374|Bacon Clbhs Qtr Meal|M Clbh
5162|BCN CLBHS QTR ML-LRG|L Clbh|6375|Bcn Clbhs Qtr Ml-Lrg|L Clbh
5164|QUARTER CHEESE BLT|QPCBLT|5313|Quarter Cheese BLT|QPCBLT
5165|QTR CHS BLT MEAL|M QPBL|5311|Qtr Chs BLT Meal|M QPBL
5166|QTR CHS BLT ML-LRG|L QPBL|5315|Qtr Chs BLT Ml-Lrg|L QPBL
5198|QTR CHS DLX ML-SD|SdQpdx|5199|Qtr Chs Dlx Ml-Sd|SdQpdx
5220|PRM RCH WP CP ML-SLD|SdWccr|5224|Prm Rch Wp Cp Ml-Sld|SdWccr
5235|PRM RCH WP GR ML-SLD|SdWcrg|5242|Prm Rch Wp Gr Ml-Sld|SdWcrg
5238|PRM SCH WP CP ML-SLD|SdWcsc|5257|Prm SCh Wp Cp Ml-Sld|SdWcsc
5241|PRM SCH WP GR ML-SLD|SdWgsc|5269|Prm SCh Wp Gr Ml-Sld|SdWgsc
5246|PRM CKB WP CP ML-SLD|SdWccb|5274|Prm CkB Wp Cp Ml-Sld|SdWccb
5249|PRM CKB WP GR ML-SLD|SdWgcb|5276|Prm CkB Wp Gr Ml-Sld|SdWgcb
5252|BUFFALO RCH HT&SPICY|BufHns|5875|Buffalo Rch Ht&Spicy|BufHns
5253|BUF RCH HT&SP MEAL|M BHns|5876|Buf Rch Ht&Sp Meal|M BHns
5254|BUF RCH HT&SP ML-LRG|L BHns|5880|Buf Rch Ht&Sp Ml-Lrg|L BHns
5255|BCN BUF RCH HT&SPCY|BBHns|5881|Bcn Buf Rch Ht&Spcy|BBHns
5256|BCN BUF RCH H&S MEAL|M BBH|5882|Bcn Buf Rch H&S Meal|M BBH
5260|BCNBUFRCH H&S ML-LRG|L BBH|5883|BcnBufRch H&S Ml-Lrg|L BBH
5266|CRISPY ONIONS|Cspy-O|5267|Crispy Onions|Cspy-O
5279|5 MCNUGGETS|5PCNUG|8511|5 MCNUGGETS|5NG
5280|10 MCNUGGETS|10ng|8510|10 McNuggets|10ng
5283|JALAPENO KICKER QTR|Jk Qtr|5458|Jalapeno Kicker Qtr|Jk Qtr
5285|JALA KICKER QTR MEAL|M JkQr|5466|Jala Kicker QTR Meal|M JkQr
5286|JALA KKR QTR ML-LRG|L JkQr|5468|Jala Kkr QTR Ml-Lrg|L JkQr
5287|JALAPENO KICKER CPY|Jk Cpy|5462|Jalapeno Kicker Cpy|Jk Cpy
5289|JALA KICKER CPY MEAL|M JkCp|5469|Jala Kicker CPY Meal|M JkCp
5291|JALA KKR CPY ML-LRG|L JkCp|5472|Jala Kkr CPY Ml-Lrg|L JkCp
5292|JALAPENO KICKER GRL|Jk Grl|5465|Jalapeno Kicker Grl|Jk Grl
5293|JALA KICKER GRL MEAL|M JkGr|5477|Jala Kicker GRL Meal|M JkGr
5294|JALA KKR GRL ML-LRG|L JkGr|5478|Jala Kkr GRL Ml-Lrg|L JkGr
5312|ARTISAN ROLL|Artsan|7332|Artisan Roll|Artsan
5316|S WHITE CHOC MOCHA|S Wcmo|5716|S White Choc Mocha|S Wcmo
5317|M WHITE CHOC MOCHA|M Wcmo|5717|M White Choc Mocha|M Wcmo
5320|L WHITE CHOC MOCHA|L Wcmo|5720|L White Choc Mocha|L Wcmo
5321|S NF WH CHOC MOCHA|S Nwcm|5721|S NF Wh Choc Mocha|S Nwcm
5322|M NFAT WH CHOC MOCHA|M Nwcm|5722|M NFat Wh Choc Mocha|M Nwcm
5323|UNDER 3 TOY|Under3|8491|TOY-ALA CARTE KIOSK UNDER 3|C UND3
5324|L NFAT WH CHOC MOCHA|L Nwcm|5724|L NFat Wh Choc Mocha|L Nwcm
5330|S HORCHATA FRAPPE|S Horc|6861|S Horchata Frappe|S Horc
5331|M HORCHATA FRAPPE|M Horc|6867|M Horchata Frappe|M Horc
5332|L HORCHATA FRAPPE|L Horc|6869|L Horchata Frappe|L Horc
5344|S FRNVAN COFFEE|S VCof|5695|S FrnVan Coffee|S VCof
5345|M FRNVAN COFFEE|M VCof|5696|M FrnVan Coffee|M VCof
5346|L FRNVAN COFFEE|L VCof|5697|L FrnVan Coffee|L VCof
5347|S FRNVAL DECAF COF|S VDcf|5704|S FrnVal Decaf Cof|S VDcf
5348|M FRNVAN DECAF COF|M VDcf|5708|M FrnVan Decaf Cof|M VDcf
5349|L FRNVAN DECAF COF|L VDcf|5709|L FrnVan Decaf Cof|L VDcf
5350|S SF FRNVAN COFFEE|SSVCof|5710|S SF FrnVan Coffee|SSVCof
5352|M SF FRNVAN COFFEE|MSVCof|5711|M SF FrnVan Coffee|MSVCof
5353|L SF FRNVAN COFFEE|LSVCof|5712|L SF FrnVan Coffee|LSVCof
5354|S SF FRNVAN DCF COF|SSVDcf|5713|S SF FrnVan Dcf Cof|SSVDcf
5356|S CARAMEL COFFEE|S CCof|5745|S Caramel Coffee|S CCof
5357|M SF FRNVAN DCF COF|MSVDcf|5714|M SF FrnVan Dcf Cof|MSVDcf
5358|L SF FRNVAN DCF COF|LSVDcf|5715|L SF FrnVan Dcf Cof|LSVDcf
5359|M CARAMEL COFFEE|M CCof|5747|M Caramel Coffee|M CCof
5360|L CARAMEL COFFEE|L CCof|5748|L Caramel Coffee|L CCof
