PRI_MENU_ITM_NU|PRI_MENU_ITM_NA|MENU_ITM_POS_NA|SEC_MENU_ITM_NU|SEC_MENU_ITM_NA|MENU_ITM_POS_NA
217|C FRUIT PUNCH|C Frtp|6595|C Fruit Punch|C Frtp
218|S FRUIT PUNCH|S Frtp|6596|S Fruit Punch|S Frtp
219|M FRUIT PUNCH|M Frtp|6597|M Fruit Punch|M Frtp
220|L FRUIT PUNCH|L Frtp|1044|L Fruit Punch|L Frtp
224|KIDS CONE|K Cone|1224|Kids Cone|K Cone
227|LRG ICE N-FAT CHOC|L INCH|3326|LRG ICE N-FAT CHOC|L INCH
231|S ICE NF FRVN LATTE|S Invl|3097|S Ice NF FrVn Latte|S Invl
232|SML ICED PEPPMNT CH|S IPCH|1108|SML ICED PEPPMNT CH|S IPCH
238|MED ICED PEPPMNT CH|M IPCH|2563|MED ICED PEPPMNT CH|M IPCH
247|LRG ICED PEPPMNT CH|L IPCH|2786|LRG ICED PEPPMNT CH|L IPCH
248|SML IC NF PEPPMNT CH|S INPC|3455|SML IC NF PEPPMNT CH|S INPC
250|BAC EGG CH BISC ML|BECbi+|4075|Bac Egg Ch Bisc Ml|BECbi+
251|SAU EGG BISC ML|S&Ebi+|1251|Sau Egg Bisc Ml|S&Ebi+
252|EGG MCMUFFIN ML|Eggmf+|1252|Egg McMuffin Ml|Eggmf+
256|MED IC NF PEPPMNT CH|M INPC|3456|MED IC NF PEPPMNT CH|M INPC
257|LRG IC NF PEPPMNT CH|L INPC|3457|LRG IC NF PEPPMNT CH|L INPC
275|M ICE NF FRVN LATTE|M Invl|677|M Ice NF FrVn Latte|M Invl
276|CREAM|Cream|5790|Cream|Cream
284|BTL POWER C|B Pwrc|1746|Btl Power C|B Pwrc
286|BTL XXX|B  XXX|1664|Btl XXX|B Wtr
289|M ICED COFFEE|M Icof|6700|M Iced Coffee|M Icof
291|L ICED COFFEE|L Icof|6701|L Iced Coffee|L Icof
292|2 SAUSAGE BISCUIT|2saubi|1292|2 Sausage Biscuit|2saubi
293|XLG ICED COFFEE|X ICOF|6717|XLG ICED COFFEE|X ICOF
297|M ICED FRVN COFFEE|M Ivan|6719|M Iced FrVn Coffee|M Ivan
298|L ICED FRVN COFFEE|L Ivan|6722|L Iced FrVn Coffee|L Ivan
299|XLG ICED VAN COFFEE|X IVAN|6723|XLG ICED VAN COFFEE|X IVAN
302|M ICED HZLNT COFFEE|M Ihaz|6729|M Iced Hzlnt Coffee|M Ihaz
304|L ICED HZLNT COFFEE|L Ihaz|6732|L Iced Hzlnt Coffee|L Ihaz
305|L ICE NF FRVN LATTE|L Invl|2078|L Ice NF FrVn Latte|L Invl
307|XLG ICED HZLNT COFFE|X IHAZ|6735|XLG ICED HZLNT COFFE|X IHAZ
311|M ICED CRML COFFEE|M Icml|6736|M Iced Crml Coffee|M Icml
313|L ICED CRML COFFEE|L Icml|6742|L Iced Crml Coffee|L Icml
314|OATMEAL COOKIE|Oat Ck|1879|Oatmeal Cookie|Oat Ck
318|L DIPPED CONE|L Dpcn|3968|L Dipped Cone|L Dpcn
321|M COFFEE|M Coff|1321|M Coffee|M Coff
321|M COFFEE|M Coff|1665|M Value Coffee|M Coff
321|M COFFEE|M Coff|5003|MED COFFEE|M Cosu
322|APPLE JUICE|Apl Jc|1322|Apple Juice|Apl Jc
322|APPLE JUICE|Apl Jc|1363|Value Apple Juice|Apl Jc
325|XLG ICED CRML COFFEE|X ICML|6753|XLG ICED CRML COFFEE|X ICML
329|M ICE SFFRVN COFFEE|M Sivc|6754|M Ice SFFrVn Coffee|M Sivc
330|L ICE SFFRVN COFFEE|L Sivc|6762|L Ice SFFrVn Coffee|L Sivc
331|XLG SF ICED VAN COFF|X SIVC|6769|XLG SF ICED VAN COFF|X SIVC
334|SAUSAGE BURRITO|Burito|1334|Sausage Burrito|Burito
336|L VANILLA CONE|L Cone|1336|L Vanilla Cone|L Cone
337|HOT FUDGE SUNDAE|Fudge|1337|Hot Fudge Sundae|Fudge
337|HOT FUDGE SUNDAE|Fudge|6954|Hot Fudge Sundae|Fudge
345|CARAMEL SUNDAE|Carml|1345|Caramel Sundae|Carml
345|CARAMEL SUNDAE|Carml|6958|Caramel Sundae|Carml
346|STRAWBERRY SUNDAE|Straw|1346|Strawberry Sundae|Straw
346|STRAWBERRY SUNDAE|Straw|6959|Strawberry Sundae|Straw
355|S ICE CRML LATTE|S Iclt|3099|S Ice Crml Latte|S Iclt
365|BROWNIE MELTS|Brnmlt|1036|Brownie Melts|Brnmlt
366|VANILLA CONE|Cone|1366|Vanilla Cone|Cone
366|VANILLA CONE|Cone|6973|Vanilla Cone|Cone
367|S CHERRY BRY CHILLER|S Cbch|1695|S Cherry Bry Chiller|S Cbch
369|ICED CARAMEL LATTE|I CLAT|1045|ICED CARAMEL LATTE|I CLAT
379|M ICE CRML LATTE|M Iclt|678|M Ice Crml Latte|M Iclt
380|SNACK MCBITES ML-LRG|L SNBT|2358|SNACK MCBITES ML-LRG|L SNBT
381|ICED N-FAT CML LATTE|I NCLT|1047|ICED N-FAT CML LATTE|I NCLT
382|ICED HZLNUT LATTE|I HLAT|1048|ICED HZLNUT LATTE|I HLAT
383|ICED N-FAT HZL LATTE|I NHLT|1049|ICED N-FAT HZL LATTE|I NHLT
385|L ICE CRML LATTE|L Iclt|2781|L Ice Crml Latte|L Iclt
386|S ICE N-FAT CML LAT|S Incl|3103|S Ice N-Fat Cml Lat|S Incl
387|M ICE N-FAT CML LAT|M Incl|683|M Ice N-Fat Cml Lat|M Incl
388|L ICE N-FAT CML LAT|L Incl|2034|L Ice N-Fat Cml Lat|L Incl
390|S ICE HAZLNT LATTE|S Ihlt|3104|S Ice Hazlnt Latte|S Ihlt
392|M ICE HAZLNT LATTE|M Ihlt|1581|M Ice Hazlnt Latte|M Ihlt
393|L ICE HAZLNT LATTE|L Ihlt|3316|L Ice Hazlnt Latte|L Ihlt
395|S ICE N-FAT HZL LAT|S Inhl|3105|S Ice N-Fat Hzl Lat|S Inhl
396|M ICE N-FAT HZL LAT|M Inhl|1582|M Ice N-Fat Hzl Lat|M Inhl
397|L ICE N-FAT HZL LAT|L Inhl|2068|L Ice N-Fat Hzl Lat|L Inhl
398|S ICE SF FRVN LATTE|S Isvl|3106|S Ice SF FrVn Latte|S Isvl
399|M ICE SF FRVN LATTE|M Isvl|1632|M Ice SF FrVn Latte|M Isvl
400|L ICE SF FRVN LATTE|L Isvl|2775|L Ice SF FrVn Latte|L Isvl
403|S IN SF FRVN LATTE|S Insv|3107|S IN SF FrVn Latte|S Insv
406|M DECAF COFFEE|M Dcaf|1406|M Decaf Coffee|M Dcaf
406|M DECAF COFFEE|M Dcaf|1666|M Value Dcf Coffee|M Dcaf
406|M DECAF COFFEE|M Dcaf|5007|MED DECAF COFFEE|M Dcsu
413|M IN SF FRVN LATTE|M Insv|1743|M INSF FrVn Latte|M Insv
414|L IN SF FRVN LATTE|L Insv|2033|L IN SF FrVn Latte|L Insv
419|C DR. PEPPER|C Drpr|1870|C Dr. Pepper|C Drpr
420|S DR. PEPPER|S Drpr|1420|S Dr. Pepper|S Drpr
421|M DR. PEPPER|M Drpr|1421|M Dr. Pepper|M Drpr
422|L DR. PEPPER|L Drpr|1422|L Dr. Pepper|L Drpr
424|S PEPPMINT HOT CHOC|S Pthc|3399|S Peppmint Hot Choc|S Pthc
425|M HOT CHOCOLATE|M Htch|4982|M Hot Chocolate|M Htch
427|M PEPPMINT HOT CHOC|M Pthc|3400|M Peppmint Hot Choc|M Pthc
428|L PEPPMINT HOT CHOC|L Pthc|3401|L Peppmint Hot Choc|L Pthc
429|S NF PEPPMINT HTCH|S Nphc|3402|S NF Peppmint HtCh|S Nphc
432|S PEPSI|S Peps|1683|S Pepsi|S Peps
433|M PEPSI|M Peps|1687|M Pepsi|M Peps
434|L PEPSI|L Peps|1696|L Pepsi|L Peps
435|XLG PEPSI|X PEPS|1699|XLG PEPSI|X PEPS
439|M NF PEPPMINT HTCH|M Nphc|794|M NF Peppmint HtCh|M Nphc
441|S DIET PEPSI|S Diet|1682|S Diet Pepsi|S Diet
442|M DIET PEPSI|M Diet|1700|M Diet Pepsi|M Diet
443|L DIET PEPSI|L Diet|1701|L Diet Pepsi|L Diet
444|XLG DIET PEPSI|X DIET|1703|XLG DIET PEPSI|X DIET
450|C ROOT BEER|C RtBr|1450|C Root Beer|C RtBr
451|S ROOT BEER|S RtBr|1256|S Root Beer|S RtBr
452|M ROOT BEER|M RtBr|1257|M Root Beer|M RtBr
453|L ROOT BEER|L RtBr|4906|L Root Beer|L RtBr
458|CHOCOLATE CONE|Ch Cn|1458|Chocolate Cone|Ch Cn
458|CHOCOLATE CONE|Ch Cn|6974|Chocolate Cone|Ch Cn
459|TWIST CONE|Tw Cn|1459|Twist Cone|Tw Cn
460|L CHOCOLATE CONE|L Chcn|1460|L Chocolate Cone|L Chcn
465|S MOUNTAIN DEW|S Mtdw|1704|S Mountain Dew|S Mtdw
466|M MOUNTAIN DEW|M Mtdw|1707|M Mountain Dew|M Mtdw
467|L MOUNTAIN DEW|L Mtdw|1708|L Mountain Dew|L Mtdw
468|XLG MOUNTAIN DEW|X MTDW|1709|XLG MOUNTAIN DEW|X MTDW
470|L NF PEPPMINT HTCH|L Nphc|3404|L NF Peppmint HtCh|L Nphc
471|S CML HOT CHOCOLATE|S Cmhc|4931|S Cml Hot Chocolate|S Cmhc
473|L COFFEE|L Coff|1242|L Coffee|L Coff
473|L COFFEE|L Coff|1667|L Value Coffee|L Coff
473|L COFFEE|L Coff|5004|LRG COFFEE|L Cosu
474|L DECAF COFFEE|L Dcaf|5009|LRG DECAF COFFEE|L Dcsu
474|L DECAF COFFEE|L Dcaf|7841|L Decaf Coffee|L Dcaf
474|L DECAF COFFEE|L Dcaf|7842|L Value Dcf Coffee|L Dcaf
475|L HOT CHOCOLATE|L Htch|2077|L Hot Chocolate|L Htch
476|L HOT TEA|L Htea|7882|L Hot Tea|L Htea
478|PLAIN SUNDAE|Sundae|1478|Plain Sundae|Sundae
478|PLAIN SUNDAE|Sundae|7015|Plain Sundae|Sundae
483|4 MCNUGGETS|4ng|1483|4 McNuggets|4ng
483|4 MCNUGGETS|4ng|6951|4 McNuggets|4ng
484|L HOT FUDGE SUNDAE|L Fudg|1316|L Hot Fudge Sundae|L Fudg
485|L CARAMEL SUNDAE|L Crml|8679|L Caramel Sundae|L Crml
486|L STRAWBRY SUNDAE|L Strw|8684|L Strawbry Sundae|L Strw
498|S PINK LEMONADE|S Pnkl|1715|S Pink Lemonade|S Pnkl
499|M PINK LEMONADE|M Pnkl|1716|M Pink Lemonade|M Pnkl
503|M CML HOT CHOCOLATE|M Cmhc|4932|M Cml Hot Chocolate|M Cmhc
504|L PINK LEMONADE|L Pnkl|1717|L Pink Lemonade|L Pnkl
505|XLG PINK LEMONADE|X PNKL|1724|XLG PINK LEMONADE|X PNKL
507|L CML HOT CHOCOLATE|L Cmhc|4933|L Cml Hot Chocolate|L Cmhc
514|S NF CRML HOT CHOC|S Nchc|4934|S NF Crml Hot Choc|S Nchc
517|M NF CRML HOT CHOC|M Nchc|4935|M NF Crml Hot Choc|M Nchc
519|C COKE|C Coke|1519|C Coke|C Coke
520|S COKE|S Coke|1520|S Coke|S Coke
521|M COKE|M Coke|1521|M Coke|M Coke
522|L COKE|L Coke|1522|L Coke|L Coke
531|S ORANGE TWIST|S Ornt|1725|S Orange Twist|S Ornt
533|L NF CRML HOT CHOC|L Nchc|4946|L NF Crml Hot Choc|L Nchc
535|S ORANGE JUICE|S Oj|1535|S Orange Juice|S Oj
535|S ORANGE JUICE|S Oj|2898|CHD ORANGE JUICE 12|C Oj
535|S ORANGE JUICE|S Oj|3085|Value Orange Juice|S Oj
537|M ORANGE TWIST|M Ornt|1726|M Orange Twist|M Ornt
542|L ORANGE TWIST|L Ornt|1732|L Orange Twist|L Ornt
545|XLG ORANGE TWIST|X ORNT|1733|XLG ORANGE TWIST|X ORNT
546|MCTERI DELUXE|Teraki|5503|McTeri Deluxe|Teraki
550|SAUSAGE MCMUFFIN ML|Saumf+|4887|Sausage McMuffin Ml|Saumf+
561|S CAF-FREE DIETCOKE|S Cfdc|1561|S Caf-Free DietCoke|S Cfdc
562|M CAF-FREE DIETCOKE|M Cfdc|6077|M Caf-Free DietCoke|M Cfdc
563|L CAF-FREE DIETCOKE|L Cfdc|572|L Caf-Free DietCoke|L Cfdc
565|S SIERRA MIST|S Mist|1734|S Sierra Mist|S Mist
566|M SIERRA MIST|M Mist|1740|M Sierra Mist|M Mist
568|L SIERRA MIST|L Mist|1741|L Sierra Mist|L Mist
569|XLG SIERRA MIST|X MIST|1742|XLG SIERRA MIST|X MIST
