15960|1102|3.30|3.30|Big Breakfast w/Htck
15960|1144|0|0|Register
15960|1207|1.99|1.99|M Iced Crml Coffee
15960|1208|1.00|1.00|L Unsweet Iced Tea
15960|1209|2.49|2.49|L Iced Crml Coffee
15960|1212|1.99|1.99|M Iced Coffee
15960|1214|2.49|2.49|L Iced Coffee
15960|1216|1.99|1.99|M Iced FrVn Coffee
15960|1218|2.49|2.49|L Iced FrVn Coffee
15960|1219|1.99|1.99|M Iced Hzlnt Coffee
15960|1229|2.49|2.49|L Iced Hzlnt Coffee
15960|1245|0.69|0.69|Snr Coffee
15960|1247|0.69|0.69|Snr Decaf Coffee
15960|1248|0.69|0.69|Snr Hot Tea
15960|1268|3.99|3.99|2 Steak Burrito Ml
15960|1320|2.49|2.49|S Caramel Latte
15960|1324|2.99|2.99|M Caramel Latte
15960|1325|3.49|3.49|L Caramel Latte
15960|1326|2.49|2.49|S N-Fat Crml Latte
15960|1327|2.99|2.99|M N-Fat Crml Latte
15960|1329|3.49|3.49|L N-Fat Crml Latte
15960|1330|2.49|2.49|S FrVn Latte
15960|1331|2.99|2.99|M FrVn Latte
15960|1332|0|0|40 McNuggets
15960|1333|3.49|3.49|L FrVn Latte
15960|1335|2.49|2.49|S NF FrVn Latte
15960|1338|2.99|2.99|M NF FrVn Latte
15960|1339|3.49|3.49|L NF FrVn Latte
15960|1381|2.59|2.59|M N-Fat Prm HtChoc
15960|1418|0|0|M N-Fat Prm HtChoc
15960|1421|0|0|M Dr. Pepper
15960|1422|1.00|1.00|L Dr. Pepper
15960|1495|0.30|0.30|White Cheddar Cheese
15960|1500|2.19|2.19|Oatmeal
15960|1501|0.50|0.50|Raisins & Cranberies
15960|1507|0.50|0.50|Diced Apples
15960|1508|2.19|2.19|S Chocolate Shake
15960|1509|2.59|2.59|M Chocolate Shake
15960|1510|2.99|2.99|L Chocolate Shake
15960|1511|2.19|2.19|S Strawberry Shake
15960|1513|2.59|2.59|M Strawberry Shake
15960|1516|2.99|2.99|L Strawberry Shake
15960|1522|1.00|1.00|L Coke
15960|1554|3.79|3.79|Bacon McDouble Meal
15960|1592|2.19|2.19|S Vanilla Shake
15960|1598|2.59|2.59|M Vanilla Shake
15960|1603|3.49|3.49|Bac Egg Ch Bagel
15960|1604|3.39|3.39|Saus Egg Ch Bagel
15960|1613|2.99|2.99|L Vanilla Shake
15960|1621|0|0|M Hi-C Orange
15960|1622|1.00|1.00|L Hi-C Orange
15960|1623|1.79|1.79|Ranch Snack Wrap-Grl
15960|1631|0.79|0.79|Folded Egg
15960|1649|0.50|0.50|Cream Cheese
15960|1653|1.00|1.00|L Diet Coke
15960|1659|1.69|1.69|Snack Oreo McFlurry
15960|1661|1.69|1.69|Snack M&M McFlurry
15960|1662|1.69|1.69|Snack Reese McFlurry
15960|1663|1.29|1.29|2 Cherry Pies
15960|1670|0.40|0.40|Extra Flurry Topping
15960|1688|5.79|5.79|Grill Thriller
15960|1697|2.59|2.59|M Prm Hot Chocolate
15960|1722|1.00|1.00|L Sprite
15960|1731|1.29|1.29|Apple & Cherry Pie
15960|1751|1.29|1.29|2-Strwbrry&Creme Pie
15960|1765|3.79|3.79|Steak Egg McMuffin
15960|1768|3.99|3.99|Stk Egg McMuffin Ml
15960|1771|1.69|1.69|Snack Reese McFlurry
15960|1790|0.59|0.59|Extra Hotcake
15960|1840|3.69|3.69|Bac Egg Ch Bagel Ml
15960|1841|3.59|3.59|Saus Egg Ch Bagel Ml
15960|1852|0|0|Choc Chip Cookie
15960|1858|0.50|0.50|Kids Fry
15960|1884|0|0|2 McChicken
15960|1924|0|0|Lettuce Wrap
15960|1948|0|0|Salad Blend
15960|1965|6.79|6.79|Grill Thriller Meal
15960|1971|7.39|7.39|Grill Thriller Ml-Lg
15960|1973|4.79|4.79|Hot All Over
15960|1975|0.89|0.89|Strwberry& Creme Pie
15960|1979|5.79|5.79|Hot All Over Meal
15960|1983|6.39|6.39|Hot All Over Ml-Lrg
15960|1984|4.79|4.79|SoCal Style
15960|1985|5.79|5.79|SoCal Style Meal
15960|1986|6.39|6.39|SoCal Style Ml-Lrg
15960|1994|0|0|Ciabatta Roll
15960|2056|5.29|5.29|Big Mac Ml-Sld
15960|2058|3.19|3.19|Dbl Cheese Ml-Sld
15960|2061|3.89|3.89|2 Chsburger Ml-Sld
15960|2063|4.99|4.99|Qtr Cheese Ml-Sld
15960|2064|5.79|5.79|Dbl Qtr Ch Ml-Sld
15960|2069|2.59|2.59|S Choc Chip Frappe
15960|2073|4.99|4.99|10 McNuggets Ml-Sld
15960|2074|4.99|4.99|Filet-O-Fish Ml-Sld
15960|2127|2.99|2.99|M Pumpkin Latte
15960|2133|3.49|3.49|L Pumpkin Latte
15960|2158|4.29|4.29|Bcn McDouble Ml-Lrg
15960|2161|2.49|2.49|S N-Fat Pkn Latte
15960|2165|0|0|Ciabatta Roll
15960|2167|0|0|Creamy Avocado Crunch
15960|2168|2.19|2.19|Oatmeal w/o Brn Sgr
15960|2169|0|0|Creamy Avocado Crunch Meal
15960|2170|2.99|2.99|M N-Fat Pkn Latte
15960|2172|3.49|3.49|L N-Fat Pkn Latte
15960|2173|0.30|0.30|Pumpkin Spice Syrup
